Content of this URL:  ftp://ftp.tceq.state.tx.us/pub/WaterResourceManagement/WaterQuality/DataCollection/CleanRivers/public/stations.txt
find record with SiteCode 16051 in database, skip it...
find record with SiteCode 10372 in database, skip it...
find record with SiteCode 13600 in database, skip it...
find record with SiteCode 13601 in database, skip it...
find record with SiteCode 13602 in database, skip it...
find record with SiteCode 17570 in database, skip it...
find record with SiteCode 10375 in database, skip it...
find record with SiteCode 17568 in database, skip it...
find record with SiteCode 17569 in database, skip it...
find record with SiteCode 15709 in database, skip it...
find record with SiteCode 10374 in database, skip it...
find record with SiteCode 10373 in database, skip it...
find record with SiteCode 10376 in database, skip it...
find record with SiteCode 15305 in database, skip it...
find record with SiteCode 15306 in database, skip it...
find record with SiteCode 14203 in database, skip it...
find record with SiteCode 12749 in database, skip it...
find record with SiteCode 12748 in database, skip it...
find record with SiteCode 12746 in database, skip it...
find record with SiteCode 12743 in database, skip it...
find record with SiteCode 15723 in database, skip it...
find record with SiteCode 12742 in database, skip it...
find record with SiteCode 12751 in database, skip it...
find record with SiteCode 12745 in database, skip it...
find record with SiteCode 12750 in database, skip it...
find record with SiteCode 12744 in database, skip it...
find record with SiteCode 12747 in database, skip it...
find record with SiteCode 12741 in database, skip it...
find record with SiteCode 14920 in database, skip it...
find record with SiteCode 20210 in database, skip it...
find record with SiteCode 17918 in database, skip it...
find record with SiteCode 17914 in database, skip it...
find record with SiteCode 18637 in database, skip it...
find record with SiteCode 17916 in database, skip it...
find record with SiteCode 17915 in database, skip it...
find record with SiteCode 16473 in database, skip it...
find record with SiteCode 18635 in database, skip it...
find record with SiteCode 17917 in database, skip it...
find record with SiteCode 18639 in database, skip it...
find record with SiteCode 18638 in database, skip it...
find record with SiteCode 15663 in database, skip it...
find record with SiteCode 11143 in database, skip it...
find record with SiteCode 17494 in database, skip it...
find record with SiteCode 18410 in database, skip it...
find record with SiteCode 14669 in database, skip it...
find record with SiteCode 14677 in database, skip it...
find record with SiteCode 18399 in database, skip it...
find record with SiteCode 14674 in database, skip it...
find record with SiteCode 14954 in database, skip it...
find record with SiteCode 14407 in database, skip it...
find record with SiteCode 13377 in database, skip it...
find record with SiteCode 18396 in database, skip it...
find record with SiteCode 14673 in database, skip it...
find record with SiteCode 14953 in database, skip it...
find record with SiteCode 17096 in database, skip it...
find record with SiteCode 14671 in database, skip it...
find record with SiteCode 14748 in database, skip it...
find record with SiteCode 13379 in database, skip it...
find record with SiteCode 13378 in database, skip it...
find record with SiteCode 13380 in database, skip it...
find record with SiteCode 20151 in database, skip it...
find record with SiteCode 14672 in database, skip it...
find record with SiteCode 17974 in database, skip it...
find record with SiteCode 18395 in database, skip it...
find record with SiteCode 14670 in database, skip it...
find record with SiteCode 14676 in database, skip it...
find record with SiteCode 14668 in database, skip it...
find record with SiteCode 14675 in database, skip it...
find record with SiteCode 14745 in database, skip it...
find record with SiteCode 18397 in database, skip it...
find record with SiteCode 14679 in database, skip it...
find record with SiteCode 14678 in database, skip it...
find record with SiteCode 13717 in database, skip it...
find record with SiteCode 13126 in database, skip it...
find record with SiteCode 16832 in database, skip it...
find record with SiteCode 10651 in database, skip it...
find record with SiteCode 13065 in database, skip it...
find record with SiteCode 20676 in database, skip it...
find record with SiteCode 11590 in database, skip it...
find record with SiteCode 11589 in database, skip it...
find record with SiteCode 10064 in database, skip it...
find record with SiteCode 11105 in database, skip it...
find record with SiteCode 11420 in database, skip it...
find record with SiteCode 11421 in database, skip it...
find record with SiteCode 13132 in database, skip it...
find record with SiteCode 10182 in database, skip it...
find record with SiteCode 10184 in database, skip it...
find record with SiteCode 10183 in database, skip it...
find record with SiteCode 10180 in database, skip it...
find record with SiteCode 10181 in database, skip it...
find record with SiteCode 17523 in database, skip it...
find record with SiteCode 16080 in database, skip it...
find record with SiteCode 15952 in database, skip it...
find record with SiteCode 17027 in database, skip it...
find record with SiteCode 15504 in database, skip it...
find record with SiteCode 10021 in database, skip it...
find record with SiteCode 15383 in database, skip it...
find record with SiteCode 18407 in database, skip it...
find record with SiteCode 12828 in database, skip it...
find record with SiteCode 12825 in database, skip it...
find record with SiteCode 12827 in database, skip it...
find record with SiteCode 14214 in database, skip it...
find record with SiteCode 12829 in database, skip it...
find record with SiteCode 12826 in database, skip it...
find record with SiteCode 12859 in database, skip it...
find record with SiteCode 12822 in database, skip it...
find record with SiteCode 12830 in database, skip it...
find record with SiteCode 12833 in database, skip it...
find record with SiteCode 12824 in database, skip it...
find record with SiteCode 12814 in database, skip it...
find record with SiteCode 12831 in database, skip it...
find record with SiteCode 12820 in database, skip it...
find record with SiteCode 14200 in database, skip it...
find record with SiteCode 12819 in database, skip it...
find record with SiteCode 12811 in database, skip it...
find record with SiteCode 12818 in database, skip it...
find record with SiteCode 12832 in database, skip it...
find record with SiteCode 12821 in database, skip it...
find record with SiteCode 14206 in database, skip it...
find record with SiteCode 14205 in database, skip it...
find record with SiteCode 12815 in database, skip it...
find record with SiteCode 13638 in database, skip it...
find record with SiteCode 12816 in database, skip it...
find record with SiteCode 12812 in database, skip it...
find record with SiteCode 12817 in database, skip it...
find record with SiteCode 12810 in database, skip it...
find record with SiteCode 14213 in database, skip it...
find record with SiteCode 12823 in database, skip it...
find record with SiteCode 12813 in database, skip it...
find record with SiteCode 12915 in database, skip it...
find record with SiteCode 12914 in database, skip it...
find record with SiteCode 12734 in database, skip it...
find record with SiteCode 12733 in database, skip it...
find record with SiteCode 12730 in database, skip it...
find record with SiteCode 20059 in database, skip it...
find record with SiteCode 12916 in database, skip it...
find record with SiteCode 12917 in database, skip it...
find record with SiteCode 20063 in database, skip it...
find record with SiteCode 12732 in database, skip it...
find record with SiteCode 13659 in database, skip it...
find record with SiteCode 12728 in database, skip it...
find record with SiteCode 20064 in database, skip it...
find record with SiteCode 12735 in database, skip it...
find record with SiteCode 12731 in database, skip it...
find record with SiteCode 12729 in database, skip it...
find record with SiteCode 12737 in database, skip it...
find record with SiteCode 12918 in database, skip it...
find record with SiteCode 12727 in database, skip it...
find record with SiteCode 12736 in database, skip it...
find record with SiteCode 12740 in database, skip it...
find record with SiteCode 12739 in database, skip it...
find record with SiteCode 12738 in database, skip it...
find record with SiteCode 15693 in database, skip it...
find record with SiteCode 10688 in database, skip it...
find record with SiteCode 12693 in database, skip it...
find record with SiteCode 17112 in database, skip it...
find record with SiteCode 18516 in database, skip it...
find record with SiteCode 17243 in database, skip it...
find record with SiteCode 14908 in database, skip it...
find record with SiteCode 14756 in database, skip it...
find record with SiteCode 14757 in database, skip it...
find record with SiteCode 14396 in database, skip it...
find record with SiteCode 18296 in database, skip it...
find record with SiteCode 18225 in database, skip it...
find record with SiteCode 18220 in database, skip it...
find record with SiteCode 13400 in database, skip it...
find record with SiteCode 18227 in database, skip it...
find record with SiteCode 11829 in database, skip it...
find record with SiteCode 11828 in database, skip it...
find record with SiteCode 18655 in database, skip it...
find record with SiteCode 12954 in database, skip it...
find record with SiteCode 17227 in database, skip it...
find record with SiteCode 10557 in database, skip it...
find record with SiteCode 11801 in database, skip it...
find record with SiteCode 18734 in database, skip it...
inert new Site record with SiteCode ==> 20800
inert new Site record with SiteCode ==> 20799
find record with SiteCode 16367 in database, skip it...
find record with SiteCode 16376 in database, skip it...
find record with SiteCode 12093 in database, skip it...
find record with SiteCode 17612 in database, skip it...
find record with SiteCode 16903 in database, skip it...
find record with SiteCode 10169 in database, skip it...
find record with SiteCode 10104 in database, skip it...
find record with SiteCode 15754 in database, skip it...
find record with SiteCode 10223 in database, skip it...
find record with SiteCode 14900 in database, skip it...
find record with SiteCode 20135 in database, skip it...
find record with SiteCode 13632 in database, skip it...
find record with SiteCode 17616 in database, skip it...
find record with SiteCode 11839 in database, skip it...
find record with SiteCode 11838 in database, skip it...
find record with SiteCode 11840 in database, skip it...
find record with SiteCode 11841 in database, skip it...
find record with SiteCode 18751 in database, skip it...
find record with SiteCode 18750 in database, skip it...
find record with SiteCode 11600 in database, skip it...
find record with SiteCode 11599 in database, skip it...
find record with SiteCode 16604 in database, skip it...
find record with SiteCode 13553 in database, skip it...
find record with SiteCode 10260 in database, skip it...
find record with SiteCode 15662 in database, skip it...
find record with SiteCode 10497 in database, skip it...
find record with SiteCode 20131 in database, skip it...
find record with SiteCode 16126 in database, skip it...
find record with SiteCode 20461 in database, skip it...
find record with SiteCode 18566 in database, skip it...
find record with SiteCode 11574 in database, skip it...
find record with SiteCode 16392 in database, skip it...
find record with SiteCode 15664 in database, skip it...
find record with SiteCode 10496 in database, skip it...
find record with SiteCode 11575 in database, skip it...
find record with SiteCode 11576 in database, skip it...
find record with SiteCode 13552 in database, skip it...
find record with SiteCode 16947 in database, skip it...
find record with SiteCode 15822 in database, skip it...
find record with SiteCode 16359 in database, skip it...
find record with SiteCode 12261 in database, skip it...
find record with SiteCode 18663 in database, skip it...
find record with SiteCode 16920 in database, skip it...
find record with SiteCode 11679 in database, skip it...
find record with SiteCode 10834 in database, skip it...
find record with SiteCode 12201 in database, skip it...
find record with SiteCode 18691 in database, skip it...
find record with SiteCode 18001 in database, skip it...
find record with SiteCode 18221 in database, skip it...
find record with SiteCode 14799 in database, skip it...
find record with SiteCode 17701 in database, skip it...
find record with SiteCode 14795 in database, skip it...
find record with SiteCode 17703 in database, skip it...
find record with SiteCode 17702 in database, skip it...
find record with SiteCode 14797 in database, skip it...
find record with SiteCode 17700 in database, skip it...
find record with SiteCode 13067 in database, skip it...
find record with SiteCode 17115 in database, skip it...
find record with SiteCode 12943 in database, skip it...
find record with SiteCode 12944 in database, skip it...
find record with SiteCode 14210 in database, skip it...
find record with SiteCode 10486 in database, skip it...
find record with SiteCode 16532 in database, skip it...
find record with SiteCode 13175 in database, skip it...
find record with SiteCode 10382 in database, skip it...
find record with SiteCode 10381 in database, skip it...
find record with SiteCode 10380 in database, skip it...
find record with SiteCode 10379 in database, skip it...
find record with SiteCode 17995 in database, skip it...
find record with SiteCode 16341 in database, skip it...
find record with SiteCode 11400 in database, skip it...
find record with SiteCode 17910 in database, skip it...
find record with SiteCode 14605 in database, skip it...
find record with SiteCode 14604 in database, skip it...
find record with SiteCode 16552 in database, skip it...
find record with SiteCode 16551 in database, skip it...
find record with SiteCode 13345 in database, skip it...
find record with SiteCode 14601 in database, skip it...
find record with SiteCode 14600 in database, skip it...
find record with SiteCode 14602 in database, skip it...
find record with SiteCode 14603 in database, skip it...
find record with SiteCode 15447 in database, skip it...
find record with SiteCode 16079 in database, skip it...
find record with SiteCode 20723 in database, skip it...
find record with SiteCode 17936 in database, skip it...
find record with SiteCode 17937 in database, skip it...
find record with SiteCode 16598 in database, skip it...
find record with SiteCode 20095 in database, skip it...
find record with SiteCode 13672 in database, skip it...
find record with SiteCode 17681 in database, skip it...
find record with SiteCode 13673 in database, skip it...
find record with SiteCode 13622 in database, skip it...
find record with SiteCode 10815 in database, skip it...
find record with SiteCode 16434 in database, skip it...
find record with SiteCode 17682 in database, skip it...
find record with SiteCode 20089 in database, skip it...
find record with SiteCode 20090 in database, skip it...
find record with SiteCode 17336 in database, skip it...
find record with SiteCode 20091 in database, skip it...
find record with SiteCode 20093 in database, skip it...
find record with SiteCode 20092 in database, skip it...
find record with SiteCode 14015 in database, skip it...
find record with SiteCode 10535 in database, skip it...
find record with SiteCode 10537 in database, skip it...
find record with SiteCode 18515 in database, skip it...
find record with SiteCode 10536 in database, skip it...
find record with SiteCode 20562 in database, skip it...
find record with SiteCode 10534 in database, skip it...
find record with SiteCode 16586 in database, skip it...
find record with SiteCode 16402 in database, skip it...
find record with SiteCode 17103 in database, skip it...
find record with SiteCode 15319 in database, skip it...
find record with SiteCode 13136 in database, skip it...
find record with SiteCode 14477 in database, skip it...
find record with SiteCode 10532 in database, skip it...
find record with SiteCode 17070 in database, skip it...
find record with SiteCode 17071 in database, skip it...
find record with SiteCode 14428 in database, skip it...
find record with SiteCode 14427 in database, skip it...
find record with SiteCode 16828 in database, skip it...
find record with SiteCode 20110 in database, skip it...
find record with SiteCode 11689 in database, skip it...
find record with SiteCode 13678 in database, skip it...
find record with SiteCode 12008 in database, skip it...
find record with SiteCode 16794 in database, skip it...
find record with SiteCode 17959 in database, skip it...
find record with SiteCode 18552 in database, skip it...
find record with SiteCode 18554 in database, skip it...
find record with SiteCode 20011 in database, skip it...
find record with SiteCode 11423 in database, skip it...
find record with SiteCode 18551 in database, skip it...
find record with SiteCode 18553 in database, skip it...
find record with SiteCode 12202 in database, skip it...
find record with SiteCode 11733 in database, skip it...
find record with SiteCode 16724 in database, skip it...
find record with SiteCode 18567 in database, skip it...
find record with SiteCode 17504 in database, skip it...
find record with SiteCode 10804 in database, skip it...
find record with SiteCode 10836 in database, skip it...
find record with SiteCode 10835 in database, skip it...
find record with SiteCode 18380 in database, skip it...
find record with SiteCode 18379 in database, skip it...
find record with SiteCode 17589 in database, skip it...
find record with SiteCode 17351 in database, skip it...
find record with SiteCode 17350 in database, skip it...
find record with SiteCode 17245 in database, skip it...
find record with SiteCode 16780 in database, skip it...
find record with SiteCode 15886 in database, skip it...
find record with SiteCode 16779 in database, skip it...
find record with SiteCode 15888 in database, skip it...
find record with SiteCode 11721 in database, skip it...
find record with SiteCode 11540 in database, skip it...
find record with SiteCode 17673 in database, skip it...
find record with SiteCode 11812 in database, skip it...
find record with SiteCode 17413 in database, skip it...
find record with SiteCode 13692 in database, skip it...
find record with SiteCode 12120 in database, skip it...
find record with SiteCode 12121 in database, skip it...
find record with SiteCode 13676 in database, skip it...
find record with SiteCode 15284 in database, skip it...
find record with SiteCode 10813 in database, skip it...
find record with SiteCode 10810 in database, skip it...
find record with SiteCode 10809 in database, skip it...
find record with SiteCode 10807 in database, skip it...
find record with SiteCode 10808 in database, skip it...
find record with SiteCode 17678 in database, skip it...
find record with SiteCode 12683 in database, skip it...
find record with SiteCode 12681 in database, skip it...
find record with SiteCode 12682 in database, skip it...
find record with SiteCode 13677 in database, skip it...
find record with SiteCode 16803 in database, skip it...
find record with SiteCode 10179 in database, skip it...
find record with SiteCode 12119 in database, skip it...
find record with SiteCode 15119 in database, skip it...
find record with SiteCode 12109 in database, skip it...
find record with SiteCode 12122 in database, skip it...
find record with SiteCode 12108 in database, skip it...
find record with SiteCode 16916 in database, skip it...
find record with SiteCode 17425 in database, skip it...
find record with SiteCode 18447 in database, skip it...
find record with SiteCode 15735 in database, skip it...
find record with SiteCode 10230 in database, skip it...
find record with SiteCode 16885 in database, skip it...
find record with SiteCode 14243 in database, skip it...
find record with SiteCode 20674 in database, skip it...
find record with SiteCode 18548 in database, skip it...
find record with SiteCode 18546 in database, skip it...
find record with SiteCode 18545 in database, skip it...
find record with SiteCode 18547 in database, skip it...
find record with SiteCode 20633 in database, skip it...
find record with SiteCode 17442 in database, skip it...
find record with SiteCode 10981 in database, skip it...
find record with SiteCode 20528 in database, skip it...
find record with SiteCode 15768 in database, skip it...
find record with SiteCode 17039 in database, skip it...
find record with SiteCode 16398 in database, skip it...
find record with SiteCode 11872 in database, skip it...
find record with SiteCode 16393 in database, skip it...
find record with SiteCode 11875 in database, skip it...
find record with SiteCode 11873 in database, skip it...
find record with SiteCode 20020 in database, skip it...
find record with SiteCode 11874 in database, skip it...
find record with SiteCode 11876 in database, skip it...
find record with SiteCode 11877 in database, skip it...
find record with SiteCode 16391 in database, skip it...
find record with SiteCode 13650 in database, skip it...
find record with SiteCode 18341 in database, skip it...
find record with SiteCode 15380 in database, skip it...
find record with SiteCode 12531 in database, skip it...
find record with SiteCode 15698 in database, skip it...
find record with SiteCode 12532 in database, skip it...
find record with SiteCode 12528 in database, skip it...
find record with SiteCode 15375 in database, skip it...
find record with SiteCode 15374 in database, skip it...
find record with SiteCode 15376 in database, skip it...
find record with SiteCode 10579 in database, skip it...
find record with SiteCode 10564 in database, skip it...
find record with SiteCode 10572 in database, skip it...
find record with SiteCode 10565 in database, skip it...
find record with SiteCode 20774 in database, skip it...
find record with SiteCode 13532 in database, skip it...
find record with SiteCode 10571 in database, skip it...
find record with SiteCode 10568 in database, skip it...
find record with SiteCode 10578 in database, skip it...
find record with SiteCode 10573 in database, skip it...
find record with SiteCode 10590 in database, skip it...
find record with SiteCode 18786 in database, skip it...
find record with SiteCode 10566 in database, skip it...
find record with SiteCode 10598 in database, skip it...
find record with SiteCode 10581 in database, skip it...
find record with SiteCode 10584 in database, skip it...
find record with SiteCode 10596 in database, skip it...
find record with SiteCode 10575 in database, skip it...
find record with SiteCode 10589 in database, skip it...
find record with SiteCode 10569 in database, skip it...
find record with SiteCode 10562 in database, skip it...
find record with SiteCode 10588 in database, skip it...
find record with SiteCode 14794 in database, skip it...
find record with SiteCode 10597 in database, skip it...
find record with SiteCode 17067 in database, skip it...
find record with SiteCode 10563 in database, skip it...
find record with SiteCode 10587 in database, skip it...
find record with SiteCode 10567 in database, skip it...
find record with SiteCode 10576 in database, skip it...
find record with SiteCode 13675 in database, skip it...
find record with SiteCode 10574 in database, skip it...
find record with SiteCode 10586 in database, skip it...
find record with SiteCode 10585 in database, skip it...
find record with SiteCode 13627 in database, skip it...
find record with SiteCode 10580 in database, skip it...
find record with SiteCode 10591 in database, skip it...
find record with SiteCode 13531 in database, skip it...
find record with SiteCode 10570 in database, skip it...
find record with SiteCode 10592 in database, skip it...
find record with SiteCode 15343 in database, skip it...
find record with SiteCode 13626 in database, skip it...
find record with SiteCode 10577 in database, skip it...
find record with SiteCode 11826 in database, skip it...
find record with SiteCode 20611 in database, skip it...
find record with SiteCode 16597 in database, skip it...
find record with SiteCode 10700 in database, skip it...
find record with SiteCode 10701 in database, skip it...
find record with SiteCode 17911 in database, skip it...
find record with SiteCode 17958 in database, skip it...
find record with SiteCode 16781 in database, skip it...
find record with SiteCode 11538 in database, skip it...
find record with SiteCode 15720 in database, skip it...
find record with SiteCode 15652 in database, skip it...
find record with SiteCode 15978 in database, skip it...
find record with SiteCode 10210 in database, skip it...
find record with SiteCode 11905 in database, skip it...
find record with SiteCode 11909 in database, skip it...
find record with SiteCode 11912 in database, skip it...
find record with SiteCode 11911 in database, skip it...
find record with SiteCode 15048 in database, skip it...
find record with SiteCode 11908 in database, skip it...
find record with SiteCode 11906 in database, skip it...
find record with SiteCode 11902 in database, skip it...
find record with SiteCode 14237 in database, skip it...
find record with SiteCode 11907 in database, skip it...
find record with SiteCode 11910 in database, skip it...
find record with SiteCode 13492 in database, skip it...
find record with SiteCode 11904 in database, skip it...
find record with SiteCode 11901 in database, skip it...
find record with SiteCode 11899 in database, skip it...
find record with SiteCode 11914 in database, skip it...
find record with SiteCode 11903 in database, skip it...
find record with SiteCode 11898 in database, skip it...
find record with SiteCode 11900 in database, skip it...
find record with SiteCode 11969 in database, skip it...
find record with SiteCode 11973 in database, skip it...
find record with SiteCode 11972 in database, skip it...
find record with SiteCode 11775 in database, skip it...
find record with SiteCode 11971 in database, skip it...
find record with SiteCode 11967 in database, skip it...
find record with SiteCode 11776 in database, skip it...
find record with SiteCode 14450 in database, skip it...
find record with SiteCode 15785 in database, skip it...
find record with SiteCode 11968 in database, skip it...
find record with SiteCode 11970 in database, skip it...
find record with SiteCode 11966 in database, skip it...
find record with SiteCode 11773 in database, skip it...
find record with SiteCode 11549 in database, skip it...
find record with SiteCode 11951 in database, skip it...
find record with SiteCode 14384 in database, skip it...
find record with SiteCode 11952 in database, skip it...
find record with SiteCode 17605 in database, skip it...
find record with SiteCode 15123 in database, skip it...
find record with SiteCode 11965 in database, skip it...
find record with SiteCode 11950 in database, skip it...
find record with SiteCode 17500 in database, skip it...
find record with SiteCode 18003 in database, skip it...
find record with SiteCode 11959 in database, skip it...
find record with SiteCode 15694 in database, skip it...
find record with SiteCode 11963 in database, skip it...
find record with SiteCode 11960 in database, skip it...
find record with SiteCode 11956 in database, skip it...
find record with SiteCode 11953 in database, skip it...
find record with SiteCode 17226 in database, skip it...
find record with SiteCode 14385 in database, skip it...
find record with SiteCode 11954 in database, skip it...
find record with SiteCode 11958 in database, skip it...
find record with SiteCode 11962 in database, skip it...
find record with SiteCode 11961 in database, skip it...
find record with SiteCode 11964 in database, skip it...
find record with SiteCode 11955 in database, skip it...
find record with SiteCode 11957 in database, skip it...
find record with SiteCode 20127 in database, skip it...
find record with SiteCode 10010 in database, skip it...
find record with SiteCode 17908 in database, skip it...
find record with SiteCode 12414 in database, skip it...
find record with SiteCode 12412 in database, skip it...
find record with SiteCode 12411 in database, skip it...
find record with SiteCode 12170 in database, skip it...
find record with SiteCode 12410 in database, skip it...
find record with SiteCode 11722 in database, skip it...
find record with SiteCode 13680 in database, skip it...
find record with SiteCode 13036 in database, skip it...
find record with SiteCode 13037 in database, skip it...
find record with SiteCode 20162 in database, skip it...
find record with SiteCode 17270 in database, skip it...
find record with SiteCode 16601 in database, skip it...
find record with SiteCode 16602 in database, skip it...
find record with SiteCode 15439 in database, skip it...
find record with SiteCode 16245 in database, skip it...
find record with SiteCode 16924 in database, skip it...
find record with SiteCode 15213 in database, skip it...
find record with SiteCode 10178 in database, skip it...
find record with SiteCode 18334 in database, skip it...
find record with SiteCode 20660 in database, skip it...
find record with SiteCode 12265 in database, skip it...
find record with SiteCode 10838 in database, skip it...
find record with SiteCode 17008 in database, skip it...
find record with SiteCode 14233 in database, skip it...
find record with SiteCode 10818 in database, skip it...
find record with SiteCode 14379 in database, skip it...
find record with SiteCode 14380 in database, skip it...
find record with SiteCode 14378 in database, skip it...
find record with SiteCode 14381 in database, skip it...
find record with SiteCode 18656 in database, skip it...
find record with SiteCode 10231 in database, skip it...
find record with SiteCode 18844 in database, skip it...
find record with SiteCode 17613 in database, skip it...
find record with SiteCode 18846 in database, skip it...
find record with SiteCode 16756 in database, skip it...
find record with SiteCode 10161 in database, skip it...
find record with SiteCode 15177 in database, skip it...
find record with SiteCode 10162 in database, skip it...
find record with SiteCode 12703 in database, skip it...
find record with SiteCode 16361 in database, skip it...
find record with SiteCode 14504 in database, skip it...
find record with SiteCode 14836 in database, skip it...
find record with SiteCode 17736 in database, skip it...
find record with SiteCode 17733 in database, skip it...
find record with SiteCode 14957 in database, skip it...
find record with SiteCode 14833 in database, skip it...
find record with SiteCode 13420 in database, skip it...
find record with SiteCode 13421 in database, skip it...
find record with SiteCode 13424 in database, skip it...
find record with SiteCode 18278 in database, skip it...
find record with SiteCode 18617 in database, skip it...
find record with SiteCode 18619 in database, skip it...
find record with SiteCode 17813 in database, skip it...
find record with SiteCode 17729 in database, skip it...
find record with SiteCode 17732 in database, skip it...
find record with SiteCode 17738 in database, skip it...
find record with SiteCode 18276 in database, skip it...
find record with SiteCode 17734 in database, skip it...
find record with SiteCode 14835 in database, skip it...
find record with SiteCode 14831 in database, skip it...
find record with SiteCode 17731 in database, skip it...
find record with SiteCode 13423 in database, skip it...
find record with SiteCode 13422 in database, skip it...
find record with SiteCode 13425 in database, skip it...
find record with SiteCode 18601 in database, skip it...
find record with SiteCode 17737 in database, skip it...
find record with SiteCode 14834 in database, skip it...
find record with SiteCode 18365 in database, skip it...
find record with SiteCode 14958 in database, skip it...
find record with SiteCode 18238 in database, skip it...
find record with SiteCode 17815 in database, skip it...
find record with SiteCode 17817 in database, skip it...
find record with SiteCode 18234 in database, skip it...
find record with SiteCode 18866 in database, skip it...
find record with SiteCode 14832 in database, skip it...
find record with SiteCode 18235 in database, skip it...
find record with SiteCode 17730 in database, skip it...
find record with SiteCode 17661 in database, skip it...
find record with SiteCode 17648 in database, skip it...
find record with SiteCode 13001 in database, skip it...
find record with SiteCode 12975 in database, skip it...
find record with SiteCode 12998 in database, skip it...
find record with SiteCode 12963 in database, skip it...
find record with SiteCode 12962 in database, skip it...
find record with SiteCode 13003 in database, skip it...
find record with SiteCode 12961 in database, skip it...
find record with SiteCode 17646 in database, skip it...
find record with SiteCode 17647 in database, skip it...
find record with SiteCode 17645 in database, skip it...
find record with SiteCode 12972 in database, skip it...
find record with SiteCode 14253 in database, skip it...
find record with SiteCode 12974 in database, skip it...
find record with SiteCode 12964 in database, skip it...
find record with SiteCode 17438 in database, skip it...
find record with SiteCode 12973 in database, skip it...
find record with SiteCode 12965 in database, skip it...
find record with SiteCode 13000 in database, skip it...
find record with SiteCode 13005 in database, skip it...
find record with SiteCode 20156 in database, skip it...
find record with SiteCode 16704 in database, skip it...
find record with SiteCode 12978 in database, skip it...
find record with SiteCode 12997 in database, skip it...
find record with SiteCode 12996 in database, skip it...
find record with SiteCode 12976 in database, skip it...
find record with SiteCode 12979 in database, skip it...
find record with SiteCode 12960 in database, skip it...
find record with SiteCode 12999 in database, skip it...
find record with SiteCode 13004 in database, skip it...
find record with SiteCode 17897 in database, skip it...
find record with SiteCode 13002 in database, skip it...
find record with SiteCode 20701 in database, skip it...
find record with SiteCode 13163 in database, skip it...
find record with SiteCode 20282 in database, skip it...
find record with SiteCode 20324 in database, skip it...
find record with SiteCode 12429 in database, skip it...
find record with SiteCode 12513 in database, skip it...
find record with SiteCode 12512 in database, skip it...
find record with SiteCode 12511 in database, skip it...
find record with SiteCode 12725 in database, skip it...
find record with SiteCode 12723 in database, skip it...
find record with SiteCode 12724 in database, skip it...
find record with SiteCode 12180 in database, skip it...
find record with SiteCode 14973 in database, skip it...
find record with SiteCode 16062 in database, skip it...
find record with SiteCode 16065 in database, skip it...
find record with SiteCode 11726 in database, skip it...
find record with SiteCode 13322 in database, skip it...
find record with SiteCode 15465 in database, skip it...
find record with SiteCode 14635 in database, skip it...
find record with SiteCode 16494 in database, skip it...
find record with SiteCode 16560 in database, skip it...
find record with SiteCode 14642 in database, skip it...
find record with SiteCode 14640 in database, skip it...
find record with SiteCode 16986 in database, skip it...
find record with SiteCode 14638 in database, skip it...
find record with SiteCode 14637 in database, skip it...
find record with SiteCode 14633 in database, skip it...
find record with SiteCode 14634 in database, skip it...
find record with SiteCode 14644 in database, skip it...
find record with SiteCode 14636 in database, skip it...
find record with SiteCode 14646 in database, skip it...
find record with SiteCode 14645 in database, skip it...
find record with SiteCode 14639 in database, skip it...
find record with SiteCode 14641 in database, skip it...
find record with SiteCode 16561 in database, skip it...
find record with SiteCode 14643 in database, skip it...
find record with SiteCode 16991 in database, skip it...
find record with SiteCode 20555 in database, skip it...
find record with SiteCode 20554 in database, skip it...
find record with SiteCode 11498 in database, skip it...
find record with SiteCode 16231 in database, skip it...
find record with SiteCode 13811 in database, skip it...
find record with SiteCode 16783 in database, skip it...
find record with SiteCode 17962 in database, skip it...
find record with SiteCode 20698 in database, skip it...
find record with SiteCode 18360 in database, skip it...
find record with SiteCode 16961 in database, skip it...
find record with SiteCode 16965 in database, skip it...
find record with SiteCode 16963 in database, skip it...
find record with SiteCode 16962 in database, skip it...
find record with SiteCode 16960 in database, skip it...
find record with SiteCode 12569 in database, skip it...
find record with SiteCode 16964 in database, skip it...
find record with SiteCode 15301 in database, skip it...
find record with SiteCode 15198 in database, skip it...
find record with SiteCode 14217 in database, skip it...
find record with SiteCode 14218 in database, skip it...
find record with SiteCode 12720 in database, skip it...
find record with SiteCode 13658 in database, skip it...
find record with SiteCode 15725 in database, skip it...
find record with SiteCode 14017 in database, skip it...
find record with SiteCode 14789 in database, skip it...
find record with SiteCode 14895 in database, skip it...
find record with SiteCode 16293 in database, skip it...
find record with SiteCode 10501 in database, skip it...
find record with SiteCode 12445 in database, skip it...
find record with SiteCode 12453 in database, skip it...
find record with SiteCode 12452 in database, skip it...
find record with SiteCode 12448 in database, skip it...
find record with SiteCode 12454 in database, skip it...
find record with SiteCode 12455 in database, skip it...
find record with SiteCode 12456 in database, skip it...
find record with SiteCode 12444 in database, skip it...
find record with SiteCode 12449 in database, skip it...
find record with SiteCode 12446 in database, skip it...
find record with SiteCode 12438 in database, skip it...
find record with SiteCode 12439 in database, skip it...
find record with SiteCode 12440 in database, skip it...
find record with SiteCode 12441 in database, skip it...
